Name,Minimum Age,Maximum Age,Gender,Address,Region,Description,Application Requirements/Restrictions (if any),Website,Phone,Email,Valid As Of,Latitude,Longitude,Mental Health Services,Medical Health Services,Public Housing,Intimate Partner Violence,Developmental/Intellectual Disabilities Services,Child Welfare,Cash and Food Benefits,Shelter Assistance,Family Support Services,Adjudicated Adolescents,LGBTQ Resources,Mentoring,Case Management,Academic Support,Job Opportunities/Training,Community Service/Outreach,Substance Abuse Treatment Residential,Substance Abuse Treatment Outpatient,Legal Support
Brookside Community Health Center,0,100,All,"3297 Washington St., Jamaica Plain, MA",Berkshire,"To provide high quality, comprehensive, multi-disciplinary, patient and family centered to those who live and work in Jamaica Plain and the city of Boston, regardless of ability to pay. Brookside Community Health Center, one of two health centers licensed by Brigham and Women's Hospital, provides multi-disciplinary, comprehensive care with services in the following areas: Adult Primary Care; Pediatric Primary Care; Obstetrics/Gynecology (including midwifery); Family planning; Dentistry and Oral Surgery; Nutrition/WIC; Behavioral Health and Social Services. ","If registering for the first time, please arrive 30 minutes prior to your scheduled first appointment and please bring the following items with you: Photo Identification (if registering a child, photo ID of parent/legal guardian); if insured, medical insurance card. We accept many health insurance and managed care plans, including MassHealth (Medicare), Neighborhood Health Plan, Medicaid, and all Medigap (Medicare Supplement) plans. We also accept Delta Dental, DentaQuest, BCBS of MA, and Cigna Dental for our on-site dental services. For a list of plans that we accept, please click here.  This list is updated periodically and subject to change, so please check with your health plan to verify coverage. You may also contact Brookside's Finance Department and speak with our Financial Counselors who are also Affordable Care Act (ACA) Certified Application Counselors. If we do not accept your insurance, but you would like to become a Brookside patient, please contact our Financial Counselors for assistance with options available.

Have no medical health insurance? No problem. Our Financial Counselors can also assist you with applying for medical and dental coverage through MassHealth and the Massachusetts HealthConnector. ",https://www.brighamandwomens.org/medicine/general-internal-medicine-and-primary-care/brookside-community-health-center/overview,(617) 522-4700,,2019-03-12,42.300726,-71.11302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles River Community Health Center (Brighton),0,100,All,"495 Western Ave., Brighton, MA",,"Charles River Community Health’s mission is to improve the health and well-being of the communities of Allston, Brighton, Waltham and surrounding areas by providing quality, comprehensive, coordinated care that is patient-centered, family friendly, and community focused.

As a Patient Centered Medical Home, we are committed to providing patients with timely access to the right care, at the right place and at the right time, collaborating with other organizations to connect patients with a comprehensive range of services and provide continuity of care, and creating new community partnerships to meet the changing needs of patients and the community.


We value caring for everyone with dignity, respect, and compassion, reducing cultural, financial and other barriers to care, and eliminating health care disparities for our patients.  We also advocate for the needs of our patients, the community, and public health causes.

Medical Services: Primary Care for Adults & Children, Same Day Sick Care, Lab, Family Planning for Men and Women, OB/GYN, Nutrition, Mammogram Van, Diabetes Education, Cancer Screening & Management, Connection to Addiction Services.

Dental Services: Cleanings, Fillings, Crowns, Bridges, Dentures, Simple Root Canals, Simple Extractions.

Mental Health & Counseling
Services: Individual Therapy, Couples Therapy, Family Therapy, Early Childhood Therapy & Support, Substance Abuse Disorder Counseling.

Vision Services: Eye Exams, Eye Glasses, Contact Lenses.

Pharmacy Services: Full Pharmacy Services, Phone Refills, Online Refills via Patient Portal.

Health & Wellness Services: New Baby Program, Healthy Living Programs, Fitness in the City, Nutrition Programs.

Insurance & Other Support Services: Insurance Enrollment, New Patient Registration, Enrollment Assistance, Interpreting.","MONDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am–9:00pm; Vision Center: 8:30am–5:00pm


TUESDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am–9:00pm; Vision Center: 1:00pm–9:00pm

WEDNESDAY: Main Facility: 8:30am–5:00pm; Pharmacy: 9:00am –5:00pm; Vision Center: 8:30am–5:00pm

THURSDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am–9:00pm; Vision Center: 1:00pm–9:00pm

FRIDAY: Main Facility: 8:30am–5:00pm; Pharmacy: 9:00am –5:00pm; Vision Center: 8:30am–5:00pm

SATURDAY: Main Facility: 8:30am–1:00pm; Pharmacy: 9:00am–1:00pm; Vision Center: CLOSED

SUNDAY: CLOSED",https://www.charlesriverhealth.org/about-us/mission-vision-values/,(617) 783-0500,,2019-03-12,42.362081,-71.143831,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles River Community Health Center (Waltham),0,100,All,"43 Foundry Ave., Waltham, MA 02453",Middlesex,"Charles River Community Health’s mission is to improve the health and well-being of the communities of Allston, Brighton, Waltham and surrounding areas by providing quality, comprehensive, coordinated care that is patient-centered, family friendly, and community focused.

As a Patient Centered Medical Home, we are committed to providing patients with timely access to the right care, at the right place and at the right time, collaborating with other organizations to connect patients with a comprehensive range of services and provide continuity of care, and creating new community partnerships to meet the changing needs of patients and the community.


We value caring for everyone with dignity, respect, and compassion, reducing cultural, financial and other barriers to care, and eliminating health care disparities for our patients.  We also advocate for the needs of our patients, the community, and public health causes.

Medical Services: Primary Care for Adults & Children, Same Day Sick Care, Lab, Family Planning for Men and Women, OB/GYN, Nutrition, Mammogram Van, Diabetes Education, Cancer Screening & Management, Connection to Addiction Services.

Dental Services: Cleanings, Fillings, Crowns, Bridges, Dentures, Simple Root Canals, Simple Extractions.

Mental Health & Counseling
Services: Individual Therapy, Couples Therapy, Family Therapy, Early Childhood Therapy & Support, Substance Abuse Disorder Counseling.

Pharmacy Services: Full Pharmacy Services, Phone Refills, Online Refills via Patient Portal.

Health & Wellness Services: New Baby Program, Healthy Living Programs, Fitness in the City, Nutrition Programs.

Insurance & Other Support Services: Insurance Enrollment, New Patient Registration, Enrollment Assistance, Interpreting.","MONDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am -9:00pm


TUESDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am -9:00pm

WEDNESDAY: Main Facility: 8:30am–5:00pm; Pharmacy: 9:00am-5:00pm

THURSDAY: Main Facility: 8:30am–9:00pm; Pharmacy: 9:00am -9:00pm

FRIDAY: Main Facility: 8:30am–5:00pm; Pharmacy: 9:00am-5:00pm

SATURDAY: Main Facility: 8:30am–1:00pm; Pharmacy: 9:00am-1:00pm

SUNDAY: CLOSED",https://www.charlesriverhealth.org/about-us/mission-vision-values/,(781) 693-3800,,2019-03-12,42.3706,-71.218725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAGLY,0,22,All,"28 Court Square, Boston, MA 02108",Suffolk,"Part of the AGLY Network, holds meetings, drop-in spaces, and open clinic throughout the week. Website and Facebook have updates on activities and events.",,https://www.bagly.org,(617) 227-4313,info@bagly.org,2019-02-13,42.35858,-71.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Asian Pride at MAP for Health,16,24,All,"322 Tremont St Boston, MA 02116",Suffolk,"Asian Pride is a youth development and leadership program that provides services for lesbian, gay, bisexual, transgender, and queer (LGBTQ+) youth of Asian and Pacific Islander descent. Allies and friends of LGBTQ+ identified youth are also welcome to participate. The program serves as an open, safe space for youth ages 16-24 to explore their identities while building job & life skills, and a sense of community with their peers.

The overall goal of Asian Pride is to empower youth so they can become knowledgeable, skilled, confident leaders in their community and society. Asian Pride exists to help reduce feelings of isolation among API LGBTQ+ youth. We host weekly drop-in hours at our space where participants can learn and socialize with their peers in a non-judgmental environment through various activities.",,http://www.maphealth.org/asian-pride,(617) 426-6755,,2019-02-13,42.34876,-71.06659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
More Than Words (Waltham),16,24,All,"56 Felton Street
Waltham, MA 02453",Middlesex,"Gaining Professional Skills: Work 20+ hours/week; Manage an online & retail bookstore in Boston and a bookstore/café in Waltham; Train in all aspects of business; Facilitate peer-led trainings and team meetings; Plan and host store events; Track performance and earn promotions.

Successfully Navigating Life: Learn essential life skills (e.g., opening a bank account, finding housing, getting an ID); Participate in workshops, mock interviews, resume building; Craft individualized action plans; Be accountable for their progress; Commit to getting GED or diploma; Receive assistance to pursue higher education.

Ongoing Support: Additional training and case management support with education and employment goals; Graduate and Alumni networking opportunities; Semiannual data collection to ensure youth are on track for positive outcomes.",Duration: 6-12 Months; 20+ hours/week,https://www.mtwyouth.org/about_us/impact/,(781) 314-9330,info@mtwyouth.org,2019-02-13,42.37381,-71.239212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Silver Lining Mentoring,7,100,All,"727 Atlantic Avenue, 3rd floor
Boston, MA 02111",Suffolk,"Silver Lining Mentoring is the only mentoring organization in Massachusetts that exclusively serves youth in foster care. Founded in 2001, Silver Lining empowers foster youth in Greater Boston to flourish through committed mentoring relationships and the development of essential life skills. We provide long term one-to-one mentoring and life skills development for young people who have been removed from their homes due to abuse or neglect. Our volunteer mentors are often the only adults in our youth’s lives who are not paid to spend time with them.

We serve youth ages 7 and older through Mentors, our one-to-one mentoring program, and through Leaders, our life-skills program for young people ages 14 and older who are preparing to “age out” of the child welfare system.  Our Mentors program includes a specialized mentoring initiative for lesbian, gay, bisexual, transgender and questioning (LGBTQ) youth in care, which seeks to empower LGBTQ youth to develop a positive sense of self and belonging through providing committed, community-based mentoring relationships with LGBTQ identified adult mentors.",Youth must be involved in foster care system. Mentoring includes at least 8 hours of mentorship a month.,https://www.silverliningmentoring.org,(617) 224-1300,,2019-02-13,42.36368,-71.05111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Youth on Fire,14,24,All,"359 Green Street,
Cambridge, MA 02139",Middlesex,"Over 3,000 youth have benefitted from YOF since the program opened its doors in the Spring of 2000.
The primary goals of Youth on Fire are to:
Respond to the basic and urgent needs of homeless and street-involved young adults at highest risk of communicable diseases and victimization.
Connect homeless and street-involved youth to age-appropriate services including on-site behavioral health and medical care through strengths-based case management.
Create safe and supportive relationships and a sense of community through activities, events and groups
Partner with community and civic organizations, local businesses, public officials and advocacy groups to address the short and long-term effects of youth homelessness.
YOF provides a broad spectrum of vital services, supports and opportunities based on Maslow’s Hierarchy of Needs and Positive Youth Development principles. Core elements of YOF’s three-tiered service delivery system include the following:
Tier 1 Services: a) hot meals; b) showers; c) laundry; d) lockers; e) voice-mail and phone; and f) computers in a safe and welcoming drop-in center.
Tier 2 Supports: a) behavioral health services; b) medical care; c) HIV, STI and viral hepatitis screenings; d) housing search; e) enrollment in health insurance and benefits; f) educational workshops; and g) supported referrals for other self-identified needs.
Tier 3 Opportunities: a) Peer Outreach and Education program; b) Youth Advisory Board; c) Speaker’s Bureau; d) art and talent shows; e) Hiring Committee; and f) Community Give Back Days, in which members clean up the surrounding neighborhoods of Youth on Fire and Harvard Square.",,https://aac.org/youth-on-fire/,(617) 661-2508,yof@fenwayhealth.org,2019-02-13,42.365707,-71.105599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Y2Y Harvard Square,18,24,All,"1 CHURCH STREET 
CAMBRIDGE, MA 02138",Middlesex,"Y2Y Harvard Square, a student-run overnight shelter, employs a youth-to-youth model to provide a safe and affirming environment for young adults experiencing homelessness. Y2Y guests have opportunities to collaborate with service providers, other youth experiencing homelessness, and student volunteers to create sustainable pathways out of homelessness and develop skills for long-term success. Y2Y provides opportunities for both guests and volunteers to become the next generation’s leading advocates for youth-driven solutions to homelessness.",,https://www.y2yharvardsquare.org/,(617) 864-0795,INFO@Y2YHARVARDSQUARE.ORG,2019-02-13,42.374465,-71.118956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MassHire Downtown Boston,18,100,All,"75 Federal Street  Boston, MA 02110",Suffolk,"Providing high-quality, customized employment & career services to job seekers, career changers, and employers.",Must become a member & attend Welcome Session,https://masshiredowntownboston.org/jobseekers/,(617) 399-3100,,2019-01-16,42.354995,-71.05682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Youth Enrichment Services-Teen Employment & Internships,15,19,All,"412 Massachusetts Avenue Boston, MA 02118",Suffolk,"Students in the school-year internship program gain hands-on experience in the marketing, finance, and impact departments of YES while also participating in a curriculum that connects personal and professional development with career exploration and civic engagement.

Interns work after school up to ten hours a week from December to May.",,http://www.yeskids.org/internships/,(617) 267-5877 x16,career@yeskids.org,2018-09-12,42.341223,-71.082564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Home for Little Wanderers,0,22,All,"56 Dimock Street, Lower Level, Roxbury, 02119",,"Provides individual, group and family therapy; psychological and neuro-psychological testing; medication management; child and family skills development; therapeutic mentoring; birth parent counseling; life skills training; community connection and integration; behavioral stabilization; educational preparation; and social, vocational and daily living supports.","To make a referral or for more information on these programs, please call Central Intake: 855-240-4663
",http://www.thehome.org/site/PageServer,(855) 240-4663,,2018-05-16,42.31898,-71.09705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
CONNECT,16,100,All,"4 Gerrish Avenue Chelsea, MA, 02150",Suffolk,"Includes employment services, education services & money management. CONNECT helps people achieve sustainable living wage jobs and financial health and well being by partnering to provide essential skills, knowledge and social capital in one central and supportive location.",,https://www.connectnow.org/connect,(617) 889-1375,sshull@connectnow.org,2018-04-05,42.39443,-71.030528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
